Aardwolf;NyetOVOn
Sandgrouse, yellow-throated;FBThwemw
Sandhill crane;TmceuJbo
Sandpiper, spotted wood;UTTgP9bm
Sarus crane;YcR4Z1a8
Savanna baboon;RkHdrzV8
Savanna fox;7nReohpi
Savannah deer;rcWqW4It
Savannah deer (unidentified);nrprto5Z
Scaly-breasted lorikeet;ZltNOPtQ
Scarlet macaw;FboHqmzg
Scottish highland cow;HAoVUs9e
Screamer, crested;IGGGu2t2
Screamer, southern;qozbJ2AZ
Sea birds (unidentified);L7azq7Yk
Seal, common;I82nZTU0
Seal, harbor;Hy9iRdVw
Seal, northern elephant;tIrjuF4z
Seal, northern fur;FErEC1Zp
Seal, southern elephant;U4C33o8b
Secretary bird;ou8Cm3Rs
Serval;fqtNR4nt
Seven-banded armadillo;Va6V5fMT
Shark, blue;ZTL5eUu5
Sheathbill, snowy;jVL6hNX2
Sheep, american bighorn;3ZwxDoN7
Sheep, red;zCe9CSNN
Sheep, stone;0bEwROjP
Shelduck, common;CK7W9iBF
Shelduck, european;FABe0Lak
Short-beaked echidna;87GOMJvK
Short-nosed bandicoot;xTXB0zof
Shrew, mandras tree;MniZxWPj
Shrike, common boubou;CQDsFB9Y
Shrike, crimson-breasted;TzBZ32pC
Shrike, southern white-crowned;50kpkg0M
Sidewinder;F8l8CP8k
Sifaka, verreaux's;T5yq41YO
Silver gull;rISjINUd
Silver-backed fox;aGb2u5cr
Silver-backed jackal;PIKzUZIx
Siskin, pine;Nl5mkgm2
Siskin, yellow-rumped;qBovgfpv
Skimmer, four-spotted;Efk6WyC5
Skink, african;rrZLBLqV
Skink, blue-tongued;cuQyEX5r
Skua, great;qnv2dDCr
Skua, long-tailed;6MaQPTi6
Skunk, striped;Yr1S1ydf
Skunk, western spotted;Za4AZVJ7
Slender loris;x2XeU88u
Slender-billed cockatoo;7EcCm4xk
Sloth bear;QHwYDdHn
Sloth, hoffman's;9uRXvby9
Sloth, pale-throated three-toed;DaCeFhyZ
Sloth, two-toed;UWFOzMBb
Sloth, two-toed tree;FZkzNnYl
Small Indian mongoose;25N1n2ek
Small-clawed otter;NGSGgke7
Small-spotted genet;pv9q01eJ
Small-toothed palm civet;7vateIxH
Smith's bush squirrel;nJ2aUwXf
Snake (unidentified);SAGpaN8J
Snake, buttermilk;9dK9wBJF
Snake, carpet;cHUpN6rt
Snake, eastern indigo;12P6v5Me
Snake, green vine;3W7Rg9kU
Snake, racer;YCBwSg4s
Snake, tiger;QmrYTnwt
Snake, western patch-nosed;jbGlTahb
Snake-necked turtle;PaYaDVQK
Snow goose;01GT76sM
Snowy egret;nxDkQte0
Snowy owl;OIdo2oJB
Snowy sheathbill;k5idxOM9
Sociable weaver;39uNpLSO
Sockeye salmon;YDcoHp2c
South African hedgehog;UlA9dWBl
South American meadowlark (unidentified);yBza910f
South American puma;ZgZyJIso
South American sea lion;X5KbQDcm
Southern black-backed gull;5j77GfVx
Southern boubou;MkVv7YWP
Southern brown bandicoot;TpQKOTJo
Southern elephant seal;F0oAauG8
Southern ground hornbill;sZ5LwCxR
Southern hairy-nosed wombat;pNWuy8Ig
Southern lapwing;wAqtKOkw
Southern right whale;tisqojg1
Southern screamer;0s9WjxTc
Southern sea lion;kegbur4V
Southern tamandua;nyzHcZhN
Southern white-crowned shrike;UCQgZdv2
Sparrow, house;8Uv9MX1S
Sparrow, rufous-collared;hCzeJK5K
Spectacled caiman;PKQL2STn
Spider, wolf;48QNwyxv
Spoonbill, european;3B0MUdDe
Spoonbill, white;JZPD0O4v
Sportive lemur;MMOZHSgm
Spotted deer;1c0ENTl0
Spotted hyena;I7ErK6Nn
Spotted wood sandpiper;89Qh5Z2I
Spotted-tailed quoll;ZpucwmmZ
Springbok;ZkgmZFXB
Springbuck;aZGbG7KU
Springhare;0D75gwLT
Spur-winged goose;xbXRaf79
Spurfowl, yellow-necked;UTii0ePv
Square-lipped rhinoceros;m99XgaKC
Squirrel glider;fP9V2fwp
Squirrel, african bush;CRSvXlt8
Squirrel, antelope ground;RmJdUKN4
Squirrel, arctic ground;IldCkNtK
Squirrel, eastern fox;zqDQZK8f
Squirrel, eurasian red;77S3ESNC
Squirrel, european red;dJpzOodS
Squirrel, golden-mantled ground;lBKUeRbE
Squirrel, grey-footed;24U1GJv4
Squirrel, indian giant;QVI8hsic
Squirrel, malabar;3D2M1JjH
Squirrel, nelson ground;YwFpAZDW
Squirrel, palm;pM0tIoDI
Squirrel, pine;nIKDT9xK
Squirrel, red;vidUtGzF
Squirrel, richardson's ground;H4886lfT
Squirrel, smith's bush;JYwn2mjC
Squirrel, thirteen-lined;pkMPvtCn
Squirrel, uinta ground;d2ZBHWKW
Stanley bustard;iihwwJqm
Stanley crane;XPgb6Z0T
Starfish, crown of thorns;poy0e2mJ
Starling, cape;CFJf6ahY
Starling, greater blue-eared;A5FqunOF
Starling, red-shouldered glossy;LTtLTM60
Starling, superb;6gDr9Cuu
Steenbok;ND3et1rw
Steenbuck;8fBALcl4
Steller sea lion;H2EEQDiW
Steller's sea lion;00Momasa
Stick insect;Z1DhIFXa
Stilt, black-winged;nnRRV6HK
Stone sheep;FwkCk4wc
Stork, black-necked;ezaYXXGC
Stork, european;aWUftWXs
Stork, greater adjutant;EX2SeCRY
Stork, jabiru;C4H6LGp1
Stork, marabou;FiIKUeF2
Stork, openbill;j0W8ZWOJ
Stork, painted;bFViaUqq
Stork, saddle-billed;0n7e70Z8
Stork, white;IsJcpAOE
Stork, white-necked;7LtHBobz
Stork, woolly-necked;8cI66uH7
Stork, yellow-billed;EzydyLdQ
Striated heron;Ep0kO2GN
Striped dolphin;oaZ3gsbX
Striped hyena;UUr39uoT
Striped skunk;WljJRscp
Sugar glider;TKjktPCE
Sulfur-crested cockatoo;k2chG22J
Sun gazer;nUSNftgK
Sunbird, lesser double-collared;oi74ZtBV
Sungazer, yellow-brown;WemVfjqT
Superb starling;DjbUQr8g
Suricate;5Qrk0xfk
Swainson's francolin;XcgVRPGc
Swallow (unidentified);mkqftgi7
Swallow-tail gull;ozCZwxI7
Swamp deer;L2afvN0O
Swan, black;iMU70C6k
Swan, trumpeter;p0PPNFNe
Tailless tenrec;iWmLzl1B
Tamandua, southern;ww3d8y52
Tammar wallaby;kMvXfv3x
Tapir, brazilian;pHynWcmL
Tarantula;1eJRWo67
Tarantula, salmon pink bird eater;orbwGRYq
Tasmanian devil;b0EyQkDv
Tawny eagle;ldJC5RGg
Tawny frogmouth;lmIdlMyt
Tayra;1mYYdbX0
Teal, hottentot;egGOgGCD
Tenrec, tailless;ENiKxjrK
Tern, arctic;BlrwTJhH
Tern, royal;Sq0dCn8T
Tern, white-winged;6KXd5qtx
Tern, white-winged black;4jRs537g
Thirteen-lined squirrel;n9R8yEJP
Thomson's gazelle;ARBfSZG6
Thrasher, curve-billed;5nUEcDcA
Three-banded plover;WTju1fkF
Tiger;SoHJaX7d
Tiger cat;JltpWPwy
Tiger snake;yCF0whN1
Timber wolf;6Y3Y2mMA
Tinamou, elegant crested;1fhWBXuT
Toddy cat;mDTdqRW3
Tokay gecko;xwOgX4Et
Topi;NZJcCxDJ
Tortoise, asian foreset;LVGsStD8
Tortoise, burmese black mountain;y6u9LtPn
Tortoise, burmese brown mountain;sYWeCiT8
Tortoise, desert;wKzDcUWV
Tortoise, galapagos;zOEuo3Sw
Tortoise, indian star;PysNdh5a
Tortoise, radiated;7Ia7aMKT
Toucan, red-billed;HT6A7dSS
Toucan, white-throated;VgAszuPb
Tree porcupine;Lk1NYXlo
Tropical buckeye butterfly;ZRQgnZKC
Trotter, lily;Vya8v247
Trumpeter swan;Ul3wlzVE
Trumpeter, dark-winged;ybmODWHO
Trumpeter, green-winged;XL4OQF91
Tsessebe;lgCJa89v
Turaco, violet-crested;9Pyl8bWe
Turkey vulture;ZolfIr3I
Turkey, australian brush;BOE4s9pR
Turkey, common;yP3eLVPy
Turkey, wild;wjB0N25K
Turtle (unidentified);2L6E20OP
Turtle, eastern box;jl51v3Yw
Turtle, long-necked;N5MTZiCK
Turtle, snake-necked;fvjLdMcb
Two-banded monitor;26PKvJw8
Two-toed sloth;8hT1poKd
Two-toed tree sloth;ePu3EZ7t
Tyrant flycatcher;qsumDmHF
Uinta ground squirrel;A5RbJw8o
Urial;0xeiULtz
Verreaux's sifaka;2iaH2ygK
Vervet monkey;4gzUtHKN
Vicuna;GQ4KKM1y
Vine snake (unidentified);uwTV04no
Violet-crested turaco;LM6rldv6
Violet-eared waxbill;T3T0hLzI
Viper, egyptian;Lx2xwzsv
Vulture, bengal;1VSUZEzB
Vulture, black;fQ9FGO9v
Vulture, egyptian;wGIEJ3fp
Vulture, griffon;xwiB9bHf
Vulture, king;bMtPAelH
Vulture, lappet-faced;SI0dsb5G
Vulture, oriental white-backed;ZFBzyYEH
Vulture, turkey;dSnHj1LG
Vulture, white-headed;82g7sW6q
Vulture, white-rumped;Ix3s9nmL
Wagtail, african pied;01ZLHEMy
Wallaby, agile;YgT5Rvbf
Wallaby, bennett's;IaGRT0xi
Wallaby, dama;2KOvBLCU
Wallaby, euro;CJnL8leE
Wallaby, red-necked;3jEC1GXB
Wallaby, river;Y2wruI7d
Wallaby, tammar;KW4GLrt0
Wallaby, whip-tailed;SgqSuhZq
Wallaroo, common;teXHiTCh
Wambenger, red-tailed;8ozbfHM1
Wapiti, elk,;fONhokws
Warthog;MoU7R51j
Water legaan;VhH6mmYO
Water moccasin;M5Tyb8N2
Water monitor;f1tjlQT8
Waterbuck, common;4w6ZH94W
Waterbuck, defassa;X6qRw22A
Wattled crane;TmErc3OU
Waved albatross;2DL6jGAk
Waxbill, black-cheeked;PvIQoZzp
Waxbill, blue;i8jWMUU4
Waxbill, violet-eared;gdENdZfP
Weaver, chestnut;fulE35yf
Weaver, lesser masked;oytm9brC
Weaver, red-billed buffalo;CUD1fY3U
Weaver, sociable;1GMKHOxO
Weaver, white-browed sparrow;cePbRMI9
Weeper capuchin;CT3KJvyc
Western bearded dragon;6det2CP0
Western grey kangaroo;74RMwud6
Western lowland gorilla;Gt7XNZ1T
Western palm tanager (unidentified);7H5OY5Mt
Western patch-nosed snake;K2INl9pS
Western pygmy possum;Xgho7oAs
Western spotted skunk;vfDsSsDZ
Whale, baleen;bVb1adBV
Whale, killer;IW3wlBCr
Whale, long-finned pilot;O3XMwkpZ
Whale, southern right;nQhiRbBS
Whip-tailed wallaby;8yudaSkh
White rhinoceros;G52vz4iW
White spoonbill;ZL4WoZxh
White stork;xsSBUn9Q
White-bellied sea eagle;QrKYLpac
White-browed owl;LhvohSRd
White-browed sparrow weaver;RTrVeXml
White-cheeked pintail;7WjNGuQJ
White-eye, cape;seNo0Bnk
White-eye, pale;zHT2fXHX
White-faced tree rat;HxzJrjxH
White-faced whistling duck;AZwFU04S
White-fronted bee-eater;XGG6MCUE
White-fronted capuchin;lT4ZBmuE
White-headed vulture;gN59fYmK
White-lipped peccary;epRqKm03
White-mantled colobus;ceWohQxl
White-necked raven;cqxocTaS
White-necked stork;AoiTriVp
White-nosed coatimundi;6jRxjyIy
White-rumped vulture;BTQXbaS8
White-tailed deer;tfnb5h1s
White-tailed jackrabbit;SSOlBWWi
White-throated kingfisher;mwmYYhkY
White-throated monitor;KJfrFyiU
White-throated robin;wJEsOuNY
White-throated toucan;eaBGcMlE
White-winged black tern;7pHE4ukn
White-winged dove;dBpUPKiv
White-winged tern;xsJ5uPir
Wild boar;BuCV70R4
Wild turkey;B2eTBgse
Wild water buffalo;Yvi2IvJs
Wildebeest, blue;iYNlztkN
Wolf spider;rvOXElsh
Wolf, common;79H30snc
Wolf, mexican;ESMaqa2T
Wolf, timber;Py1Scr88
Wombat, common;lcjSOPNC
Wombat, southern hairy-nosed;nOekNXT2
Wood pigeon;D2xM4XBp
Woodchuck;Q0NPaamo
Woodcock, american;LqQVX7rO
Woodpecker, downy;28LMmSmT
Woodpecker, red-headed;y7ZvploS
Woodrat (unidentified);951pEMpX
Woolly-necked stork;bbIrJD9h
Worm snake (unidentified);lBMTfblr
Woylie;Ha0mFStz
Yak;wdcXRMgm
Yellow baboon;9zhuysik
Yellow mongoose;gNV7EdY4
Yellow-bellied marmot;KU9iPiWW
Yellow-billed hornbill;ch1UJPcx
Yellow-billed stork;na70rYe1
Yellow-brown sungazer;fXLnSZjf
Yellow-crowned night heron;ACLD1x7S
Yellow-headed caracara;BGpHHYx7
Yellow-necked spurfowl;SqaD42c0
Yellow-rumped siskin;1TqAlweX
Yellow-throated sandgrouse;UJCAg5Yn
Zebra, common;Hlgi3lGD
Zebra, plains;8R4ex4q5
Zorilla;q92AzZ7Z
Zorro, azara's;r96I5h5f
Zorro, common;iRJH0ScZ
